CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.792969 1719155698.6609
MEM 27.113281 1719155698.7614
MEM 39.503906 1719155698.8619
MEM 52.695312 1719155698.9624
MEM 77.304688 1719155699.0629
MEM 94.019531 1719155699.1634
MEM 107.144531 1719155699.2639
MEM 121.496094 1719155699.3670
MEM 134.347656 1719155699.4675
MEM 196.492188 1719155699.5680
MEM 510.578125 1719155699.6685
MEM 841.160156 1719155699.7690
MEM 692.652344 1719155699.8695
MEM 709.738281 1719155699.9700
MEM 731.804688 1719155700.0706
MEM 753.296875 1719155700.1711
MEM 771.289062 1719155700.2716
MEM 771.601562 1719155700.3722
MEM 809.414062 1719155700.4727
MEM 810.328125 1719155700.5732
MEM 817.996094 1719155700.6737
MEM 841.261719 1719155700.7742
MEM 862.539062 1719155700.8747
MEM 885.441406 1719155700.9752
MEM 888.480469 1719155701.0758
MEM 914.433594 1719155701.1763
MEM 849.402344 1719155701.2768
MEM 866.753906 1719155701.3773
MEM 888.328125 1719155701.4778
MEM 947.695312 1719155701.5783
MEM 927.570312 1719155701.6788
MEM 927.570312 1719155701.7793
MEM 962.300781 1719155701.8798
MEM 888.472656 1719155701.9803
MEM 909.664062 1719155702.0808
MEM 968.906250 1719155702.1812
MEM 952.726562 1719155702.2817
MEM 966.628906 1719155702.3819
MEM 972.183594 1719155702.4823
MEM 954.953125 1719155702.5828
MEM 931.074219 1719155702.6833
MEM 951.980469 1719155702.7838
MEM 973.816406 1719155702.8839
MEM 1030.578125 1719155702.9841
MEM 1005.707031 1719155703.0846
MEM 1016.980469 1719155703.1851
MEM 966.625000 1719155703.2856
MEM 974.316406 1719155703.3861
MEM 995.300781 1719155703.4867
MEM 1015.738281 1719155703.5872
MEM 1035.093750 1719155703.6877
MEM 1044.785156 1719155703.7882
MEM 1064.066406 1719155703.8887
MEM 1044.777344 1719155703.9892
MEM 1044.785156 1719155704.0897
MEM 1044.785156 1719155704.1902
MEM 1044.785156 1719155704.2903
MEM 1044.785156 1719155704.3907
MEM 1084.457031 1719155704.4912
MEM 1342.628906 1719155704.5915
MEM 1330.578125 1719155704.6920
MEM 1347.585938 1719155704.7925
