CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.589844 1719154558.1210
MEM 27.125000 1719154558.2220
MEM 39.757812 1719154558.3223
MEM 51.644531 1719154558.4225
MEM 75.550781 1719154558.5230
MEM 92.578125 1719154558.6233
MEM 105.476562 1719154558.7237
MEM 118.800781 1719154558.8240
MEM 131.941406 1719154558.9241
MEM 146.535156 1719154559.0245
MEM 393.128906 1719154559.1250
MEM 717.847656 1719154559.2255
MEM 692.777344 1719154559.3260
MEM 705.980469 1719154559.4265
MEM 727.601562 1719154559.5271
MEM 748.828125 1719154559.6276
MEM 769.671875 1719154559.7281
MEM 771.421875 1719154559.8286
MEM 802.910156 1719154559.9291
MEM 815.375000 1719154560.0296
MEM 815.335938 1719154560.1301
MEM 836.902344 1719154560.2306
MEM 904.777344 1719154560.3311
MEM 879.703125 1719154560.4316
MEM 888.644531 1719154560.5321
MEM 910.238281 1719154560.6326
MEM 849.554688 1719154560.7332
MEM 875.316406 1719154560.8337
MEM 886.136719 1719154560.9342
MEM 908.421875 1719154561.0347
MEM 927.718750 1719154561.1352
MEM 927.718750 1719154561.2357
MEM 965.359375 1719154561.3362
MEM 891.542969 1719154561.4367
MEM 912.238281 1719154561.5373
MEM 935.496094 1719154561.6378
MEM 956.679688 1719154561.7383
MEM 966.773438 1719154561.8388
MEM 985.429688 1719154561.9393
MEM 927.691406 1719154562.0398
MEM 940.015625 1719154562.1403
MEM 961.750000 1719154562.2418
MEM 982.476562 1719154562.3424
MEM 1076.074219 1719154562.4429
MEM 1005.863281 1719154562.5434
MEM 1036.871094 1719154562.6439
MEM 966.757812 1719154562.7441
MEM 984.234375 1719154562.8445
MEM 1004.117188 1719154562.9495
MEM 1024.410156 1719154563.0500
MEM 1042.664062 1719154563.1505
MEM 1044.914062 1719154563.2510
MEM 1075.160156 1719154563.3516
MEM 1032.054688 1719154563.4521
MEM 1044.921875 1719154563.5526
MEM 1044.921875 1719154563.6531
MEM 1044.921875 1719154563.7536
MEM 1028.734375 1719154563.8541
MEM 1103.281250 1719154563.9547
MEM 1347.722656 1719154564.0582
MEM 1355.933594 1719154564.1587
MEM 1347.722656 1719154564.2592
MEM 1385.089844 1719154564.3597
MEM 1327.511719 1719154564.4602
MEM 1347.722656 1719154564.5607
MEM 1368.152344 1719154564.6612
MEM 1347.722656 1719154564.7617
MEM 1334.953125 1719154564.8621
MEM 1359.824219 1719154564.9626
MEM 1569.625000 1719154565.0629
MEM 1671.546875 1719154565.1635
MEM 2041.011719 1719154565.2640
MEM 2940.449219 1719154565.3645
MEM 3880.511719 1719154565.4650
MEM 4813.011719 1719154565.5661
MEM 5732.527344 1719154565.6666
MEM 6661.574219 1719154565.7671
MEM 7580.449219 1719154565.8676
MEM 8500.511719 1719154565.9681
MEM 9428.324219 1719154566.0686
MEM 8818.785156 1719154566.1689
MEM 8819.273438 1719154566.2694
MEM 8850.386719 1719154566.3698
MEM 8881.699219 1719154566.4703
MEM 8914.324219 1719154566.5705
MEM 8948.511719 1719154566.6710
MEM 8982.449219 1719154566.7715
MEM 9015.449219 1719154566.8716
MEM 9047.699219 1719154566.9719
MEM 9081.636719 1719154567.0724
MEM 9114.074219 1719154567.1729
MEM 9145.824219 1719154567.2730
MEM 9177.261719 1719154567.3735
MEM 9207.699219 1719154567.4737
MEM 9239.386719 1719154567.5743
MEM 9269.511719 1719154567.6744
MEM 9300.949219 1719154567.7746
MEM 9333.511719 1719154567.8747
MEM 9364.511719 1719154567.9749
MEM 9395.199219 1719154568.0751
MEM 9427.199219 1719154568.1756
MEM 9459.699219 1719154568.2758
MEM 9492.574219 1719154568.3763
MEM 9524.761719 1719154568.4765
MEM 9556.074219 1719154568.5770
MEM 9587.511719 1719154568.6773
MEM 9618.386719 1719154568.7775
MEM 9649.824219 1719154568.8780
MEM 9682.074219 1719154568.9782
MEM 9714.324219 1719154569.0789
MEM 9746.949219 1719154569.1794
MEM 9780.136719 1719154569.2799
MEM 9810.699219 1719154569.3804
MEM 9841.824219 1719154569.4809
MEM 9874.324219 1719154569.5814
MEM 9906.324219 1719154569.6819
MEM 9938.199219 1719154569.7824
MEM 9972.011719 1719154569.8829
MEM 10005.574219 1719154569.9835
MEM 10038.074219 1719154570.0836
MEM 10071.199219 1719154570.1838
MEM 10102.761719 1719154570.2841
MEM 10134.511719 1719154570.3846
MEM 10167.386719 1719154570.4851
MEM 10200.011719 1719154570.5856
MEM 10231.511719 1719154570.6861
MEM 10263.636719 1719154570.7866
MEM 10295.199219 1719154570.8871
MEM 10328.386719 1719154570.9877
MEM 10360.136719 1719154571.0882
MEM 10392.136719 1719154571.1887
MEM 10424.261719 1719154571.2892
MEM 10456.886719 1719154571.3897
MEM 10489.324219 1719154571.4902
MEM 10521.074219 1719154571.5907
MEM 10552.699219 1719154571.6912
MEM 10583.511719 1719154571.7917
MEM 10615.449219 1719154571.8922
MEM 10646.449219 1719154571.9927
MEM 10678.761719 1719154572.0932
MEM 10712.824219 1719154572.1937
MEM 10746.074219 1719154572.2942
MEM 10778.699219 1719154572.3948
MEM 10810.699219 1719154572.4953
MEM 10841.949219 1719154572.5958
MEM 10875.105469 1719154572.6963
MEM 10907.199219 1719154572.7968
MEM 10940.074219 1719154572.8973
MEM 10971.949219 1719154572.9974
MEM 11004.949219 1719154573.0980
MEM 11036.949219 1719154573.1985
MEM 11069.449219 1719154573.2990
MEM 11102.574219 1719154573.4007
MEM 11134.074219 1719154573.5017
MEM 11166.574219 1719154573.6023
MEM 11199.199219 1719154573.7028
MEM 11229.949219 1719154573.8033
MEM 11261.824219 1719154573.9039
MEM 11293.761719 1719154574.0044
MEM 11325.761719 1719154574.1049
MEM 11357.109375 1719154574.2054
MEM 11389.074219 1719154574.3060
MEM 11420.824219 1719154574.4065
MEM 11452.949219 1719154574.5070
MEM 11483.574219 1719154574.6075
MEM 11514.949219 1719154574.7081
MEM 11547.449219 1719154574.8086
MEM 11581.449219 1719154574.9091
MEM 11613.949219 1719154575.0096
MEM 11645.699219 1719154575.1101
MEM 11676.511719 1719154575.2106
MEM 11707.824219 1719154575.3108
MEM 11740.324219 1719154575.4113
MEM 11773.824219 1719154575.5118
MEM 11807.386719 1719154575.6123
MEM 11840.574219 1719154575.7128
MEM 11871.886719 1719154575.8129
MEM 11904.886719 1719154575.9134
MEM 11938.074219 1719154576.0139
MEM 11969.886719 1719154576.1144
MEM 12001.511719 1719154576.2149
MEM 12032.699219 1719154576.3154
MEM 12064.136719 1719154576.4156
MEM 12096.824219 1719154576.5158
