CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.589844 1719155078.6998
MEM 26.656250 1719155078.8010
MEM 39.500000 1719155078.9015
MEM 51.199219 1719155079.0020
MEM 75.808594 1719155079.1025
MEM 91.937500 1719155079.2031
MEM 105.644531 1719155079.3036
MEM 119.000000 1719155079.4041
MEM 131.652344 1719155079.5046
MEM 148.886719 1719155079.6050
MEM 417.621094 1719155079.7055
MEM 724.351562 1719155079.8073
MEM 693.054688 1719155079.9083
MEM 704.566406 1719155080.0089
MEM 729.386719 1719155080.1094
MEM 747.113281 1719155080.2099
MEM 838.808594 1719155080.3104
MEM 771.218750 1719155080.4110
MEM 797.886719 1719155080.5115
MEM 907.800781 1719155080.6121
MEM 812.230469 1719155080.7125
MEM 839.726562 1719155080.8130
MEM 855.460938 1719155080.9135
MEM 885.703125 1719155081.0140
MEM 888.449219 1719155081.1145
MEM 897.789062 1719155081.2150
MEM 849.359375 1719155081.3156
MEM 857.378906 1719155081.4161
MEM 883.687500 1719155081.5166
MEM 900.523438 1719155081.6172
MEM 922.273438 1719155081.7175
MEM 927.523438 1719155081.8180
MEM 947.566406 1719155081.9185
MEM 888.425781 1719155082.0190
MEM 903.394531 1719155082.1195
MEM 923.046875 1719155082.2200
MEM 945.359375 1719155082.3206
MEM 966.578125 1719155082.4211
MEM 966.578125 1719155082.5216
MEM 997.527344 1719155082.6222
MEM 927.496094 1719155082.7227
MEM 960.972656 1719155082.8232
MEM 967.285156 1719155082.9237
MEM 987.484375 1719155083.0242
MEM 1005.667969 1719155083.1247
MEM 1007.003906 1719155083.2252
MEM 1044.734375 1719155083.3257
MEM 968.113281 1719155083.4263
MEM 987.652344 1719155083.5268
MEM 1008.277344 1719155083.6278
MEM 1026.726562 1719155083.7284
MEM 1044.699219 1719155083.8289
MEM 1044.699219 1719155083.9294
MEM 1079.390625 1719155084.0299
MEM 1044.722656 1719155084.1304
MEM 1044.722656 1719155084.2310
MEM 1044.722656 1719155084.3312
MEM 1044.722656 1719155084.4317
MEM 1045.480469 1719155084.5322
MEM 1104.437500 1719155084.6327
MEM 1347.523438 1719155084.7332
MEM 1354.308594 1719155084.8334
MEM 1347.523438 1719155084.9340
MEM 1380.871094 1719155085.0345
MEM 1319.132812 1719155085.1350
MEM 1347.523438 1719155085.2355
MEM 1353.460938 1719155085.3357
MEM 1347.523438 1719155085.4367
MEM 1323.738281 1719155085.5372
MEM 1309.042969 1719155085.6378
MEM 1698.769531 1719155085.7383
MEM 1572.148438 1719155085.8388
MEM 2008.660156 1719155085.9393
MEM 2929.722656 1719155086.0398
MEM 3778.472656 1719155086.1403
MEM 4711.972656 1719155086.2409
MEM 5661.410156 1719155086.3413
MEM 6604.722656 1719155086.4418
MEM 7536.097656 1719155086.5420
MEM 8454.160156 1719155086.6422
MEM 9384.410156 1719155086.7423
MEM 8818.562500 1719155086.8429
MEM 8822.480469 1719155086.9434
MEM 8853.917969 1719155087.0439
MEM 8884.417969 1719155087.1444
MEM 8915.480469 1719155087.2449
MEM 8948.480469 1719155087.3454
MEM 8982.523438 1719155087.4480
