CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.652344 1719153368.4394
MEM 25.734375 1719153368.5404
MEM 38.140625 1719153368.6409
MEM 48.589844 1719153368.7414
MEM 57.765625 1719153368.8419
MEM 67.855469 1719153368.9424
MEM 81.027344 1719153369.0429
MEM 90.992188 1719153369.1434
MEM 98.050781 1719153369.2439
MEM 105.421875 1719153369.3444
MEM 111.605469 1719153369.4449
MEM 120.289062 1719153369.5454
MEM 128.468750 1719153369.6460
MEM 134.886719 1719153369.7465
MEM 142.738281 1719153369.8470
MEM 350.996094 1719153369.9475
MEM 527.937500 1719153370.0480
MEM 966.230469 1719153370.1485
MEM 692.843750 1719153370.2490
MEM 708.816406 1719153370.3495
MEM 726.503906 1719153370.4500
MEM 744.570312 1719153370.5505
MEM 761.914062 1719153370.6510
MEM 771.703125 1719153370.7515
MEM 777.398438 1719153370.8520
MEM 810.769531 1719153370.9525
MEM 810.753906 1719153371.0530
MEM 814.640625 1719153371.1536
MEM 832.992188 1719153371.2541
MEM 851.554688 1719153371.3546
MEM 870.179688 1719153371.4551
MEM 886.746094 1719153371.5556
MEM 889.058594 1719153371.6561
MEM 919.929688 1719153371.7565
MEM 849.996094 1719153371.8570
MEM 869.390625 1719153371.9575
MEM 891.695312 1719153372.0580
MEM 913.179688 1719153372.1585
MEM 928.132812 1719153372.2590
MEM 933.179688 1719153372.3593
MEM 889.464844 1719153372.4598
MEM 893.972656 1719153372.5603
MEM 915.406250 1719153372.6608
MEM 936.781250 1719153372.7613
MEM 958.937500 1719153372.8619
MEM 967.246094 1719153372.9624
MEM 985.574219 1719153373.0626
MEM 928.136719 1719153373.1627
MEM 939.566406 1719153373.2632
MEM 959.027344 1719153373.3637
MEM 979.898438 1719153373.4638
MEM 999.644531 1719153373.5645
MEM 1006.289062 1719153373.6650
MEM 1026.789062 1719153373.7655
MEM 967.203125 1719153373.8660
MEM 982.285156 1719153373.9665
MEM 998.382812 1719153374.0670
MEM 1017.906250 1719153374.1675
MEM 1036.339844 1719153374.2680
MEM 1045.332031 1719153374.3685
MEM 1062.421875 1719153374.4690
MEM 1045.351562 1719153374.5695
MEM 1045.359375 1719153374.6700
MEM 1045.359375 1719153374.7705
MEM 1016.062500 1719153374.8710
MEM 1045.359375 1719153374.9716
MEM 1075.953125 1719153375.0721
MEM 1238.761719 1719153375.1726
MEM 1324.808594 1719153375.2731
MEM 1348.164062 1719153375.3736
MEM 1354.011719 1719153375.4741
MEM 1348.164062 1719153375.5746
MEM 1387.226562 1719153375.6751
MEM 1321.394531 1719153375.7756
MEM 1348.164062 1719153375.8761
MEM 1362.621094 1719153375.9767
MEM 1382.046875 1719153376.0772
MEM 1533.722656 1719153376.1777
MEM 1572.789062 1719153376.2782
MEM 1768.101562 1719153376.3787
MEM 2594.039062 1719153376.4792
MEM 3507.476562 1719153376.5797
MEM 4425.542969 1719153376.6802
MEM 5324.726562 1719153376.7812
MEM 6242.601562 1719153376.8817
