CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.707031 1719158023.1708
MEM 26.566406 1719158023.2714
MEM 39.382812 1719158023.3718
MEM 50.320312 1719158023.4723
MEM 74.257812 1719158023.5728
MEM 91.640625 1719158023.6730
MEM 106.351562 1719158023.7764
MEM 120.046875 1719158023.8774
MEM 132.691406 1719158023.9777
MEM 144.765625 1719158024.0782
MEM 185.722656 1719158024.1786
MEM 214.332031 1719158024.2791
MEM 278.660156 1719158024.3796
MEM 312.375000 1719158024.4802
MEM 283.550781 1719158024.5806
MEM 343.875000 1719158024.6808
MEM 565.167969 1719158024.7812
MEM 559.265625 1719158024.8817
MEM 579.039062 1719158024.9818
MEM 599.554688 1719158025.0820
MEM 609.132812 1719158025.1826
MEM 636.734375 1719158025.2828
MEM 638.683594 1719158025.3831
MEM 659.906250 1719158025.4835
MEM 673.800781 1719158025.5840
MEM 696.367188 1719158025.6846
MEM 660.011719 1719158025.7851
MEM 681.144531 1719158025.8853
MEM 696.687500 1719158025.9856
MEM 717.796875 1719158026.0861
MEM 684.113281 1719158026.1862
MEM 703.929688 1719158026.2868
MEM 719.558594 1719158026.3873
MEM 741.113281 1719158026.4879
MEM 705.992188 1719158026.5885
MEM 739.257812 1719158026.6887
MEM 742.480469 1719158026.7890
MEM 763.367188 1719158026.8893
MEM 726.507812 1719158026.9899
MEM 745.644531 1719158027.0902
MEM 764.257812 1719158027.1903
MEM 775.386719 1719158027.2906
MEM 765.386719 1719158027.3910
MEM 765.386719 1719158027.4914
MEM 765.386719 1719158027.5919
MEM 814.050781 1719158027.6921
MEM 945.757812 1719158027.7926
MEM 946.554688 1719158027.8931
MEM 938.542969 1719158027.9936
MEM 919.949219 1719158028.0941
MEM 942.832031 1719158028.1943
MEM 939.984375 1719158028.2945
MEM 1071.648438 1719158028.3952
MEM 1272.324219 1719158028.4954
MEM 2050.246094 1719158028.5957
MEM 3055.683594 1719158028.6960
MEM 4102.121094 1719158028.7963
MEM 5150.746094 1719158028.8965
MEM 6180.496094 1719158028.9971
MEM 7209.621094 1719158029.0977
MEM 8239.167969 1719158029.1982
MEM 9275.246094 1719158029.2985
MEM 10318.808594 1719158029.3991
MEM 9897.898438 1719158029.4994
MEM 9903.902344 1719158029.5997
MEM 9916.152344 1719158029.6999
MEM 9930.152344 1719158029.8002
MEM 9945.402344 1719158029.9004
MEM 9960.714844 1719158030.0009
MEM 9976.339844 1719158030.1012
MEM 9991.964844 1719158030.2015
MEM 10006.902344 1719158030.3017
MEM 10022.714844 1719158030.4018
MEM 10038.339844 1719158030.5023
MEM 10053.027344 1719158030.6026
MEM 10067.714844 1719158030.7030
MEM 10082.902344 1719158030.8037
MEM 10098.152344 1719158030.9038
MEM 10113.714844 1719158031.0042
MEM 10128.839844 1719158031.1043
MEM 10143.652344 1719158031.2044
MEM 10158.652344 1719158031.3050
MEM 10173.527344 1719158031.4051
MEM 10188.902344 1719158031.5054
MEM 10203.777344 1719158031.6059
MEM 10219.152344 1719158031.7060
MEM 10234.152344 1719158031.8066
MEM 10248.902344 1719158031.9067
MEM 10264.437500 1719158032.0071
MEM 10280.277344 1719158032.1076
MEM 10295.339844 1719158032.2081
MEM 10310.339844 1719158032.3086
MEM 10325.839844 1719158032.4087
MEM 10340.964844 1719158032.5089
MEM 10356.839844 1719158032.6090
MEM 10372.089844 1719158032.7097
MEM 10387.902344 1719158032.8099
MEM 10402.410156 1719158032.9102
MEM 10417.402344 1719158033.0104
MEM 10433.152344 1719158033.1106
MEM 10448.152344 1719158033.2112
MEM 10462.964844 1719158033.3114
MEM 10478.089844 1719158033.4116
MEM 10493.152344 1719158033.5122
MEM 10507.777344 1719158033.6124
MEM 10523.152344 1719158033.7139
MEM 10537.964844 1719158033.8148
MEM 10553.152344 1719158033.9152
MEM 10568.589844 1719158034.0154
MEM 10584.214844 1719158034.1160
MEM 10599.964844 1719158034.2164
MEM 10615.214844 1719158034.3168
MEM 10630.714844 1719158034.4172
MEM 10645.214844 1719158034.5178
MEM 10660.089844 1719158034.6182
MEM 10675.652344 1719158034.7185
MEM 10691.152344 1719158034.8191
MEM 10706.214844 1719158034.9192
MEM 10721.777344 1719158035.0195
MEM 10737.402344 1719158035.1197
MEM 10752.777344 1719158035.2201
MEM 10768.214844 1719158035.3205
MEM 10783.402344 1719158035.4208
MEM 10798.152344 1719158035.5212
MEM 10813.589844 1719158035.6217
MEM 10829.027344 1719158035.7223
MEM 10844.339844 1719158035.8228
MEM 10859.152344 1719158035.9232
MEM 10873.589844 1719158036.0234
MEM 10889.027344 1719158036.1239
MEM 10903.777344 1719158036.2242
MEM 10918.964844 1719158036.3243
MEM 10933.964844 1719158036.4245
MEM 10949.027344 1719158036.5247
MEM 10963.589844 1719158036.6252
MEM 10978.839844 1719158036.7256
MEM 10994.214844 1719158036.8257
MEM 11009.277344 1719158036.9260
MEM 11024.277344 1719158037.0264
MEM 11039.402344 1719158037.1268
