CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.675781 1719159460.3380
MEM 25.660156 1719159460.4386
MEM 38.101562 1719159460.5389
MEM 48.503906 1719159460.6392
MEM 65.042969 1719159460.7397
MEM 87.121094 1719159460.8403
MEM 99.675781 1719159460.9408
MEM 111.289062 1719159461.0413
MEM 125.980469 1719159461.1415
MEM 138.097656 1719159461.2419
MEM 151.753906 1719159461.3421
MEM 160.226562 1719159461.4426
MEM 162.230469 1719159461.5432
MEM 179.988281 1719159461.6435
MEM 168.714844 1719159461.7439
MEM 188.019531 1719159461.8440
MEM 201.058594 1719159461.9445
MEM 185.218750 1719159462.0450
MEM 207.976562 1719159462.1456
MEM 379.136719 1719159462.2461
MEM 710.769531 1719159462.3464
MEM 658.511719 1719159462.4469
MEM 685.511719 1719159462.5475
MEM 698.195312 1719159462.6478
MEM 705.289062 1719159462.7481
MEM 820.656250 1719159462.8485
MEM 735.429688 1719159462.9489
MEM 755.523438 1719159463.0494
MEM 773.996094 1719159463.1497
MEM 788.378906 1719159463.2499
MEM 756.398438 1719159463.3502
MEM 781.757812 1719159463.4507
MEM 796.906250 1719159463.5512
MEM 806.531250 1719159463.6515
MEM 776.445312 1719159463.7518
MEM 817.246094 1719159463.8521
MEM 818.464844 1719159463.9522
MEM 828.667969 1719159464.0523
MEM 796.867188 1719159464.1526
MEM 818.601562 1719159464.2528
MEM 837.757812 1719159464.3534
MEM 845.777344 1719159464.4539
MEM 819.757812 1719159464.5542
MEM 833.617188 1719159464.6546
MEM 853.187500 1719159464.7548
MEM 865.574219 1719159464.8552
MEM 846.261719 1719159464.9553
MEM 865.570312 1719159465.0559
MEM 865.570312 1719159465.1564
MEM 899.921875 1719159465.2567
MEM 923.746094 1719159465.3570
MEM 1036.359375 1719159465.4576
MEM 1043.019531 1719159465.5579
MEM 1065.906250 1719159465.6581
MEM 1065.906250 1719159465.7584
MEM 1045.957031 1719159465.8590
MEM 1020.781250 1719159465.9593
MEM 1151.753906 1719159466.0597
MEM 1284.917969 1719159466.1602
MEM 2098.484375 1719159466.2604
MEM 3240.296875 1719159466.3610
MEM 4379.921875 1719159466.4612
MEM 5515.171875 1719159466.5614
MEM 6649.296875 1719159466.6620
MEM 7765.859375 1719159466.7626
MEM 8874.921875 1719159466.8628
MEM 9992.171875 1719159466.9633
MEM 11069.734375 1719159467.0640
MEM 12143.609375 1719159467.1645
MEM 13266.171875 1719159467.2649
MEM 14386.171875 1719159467.3652
MEM 15499.796875 1719159467.4657
MEM 16606.671875 1719159467.5663
MEM 17726.484375 1719159467.6666
MEM 18781.921875 1719159467.7670
MEM 19899.093750 1719159467.8674
MEM 21006.609375 1719159467.9678
MEM 22120.109375 1719159468.0681
MEM 23183.109375 1719159468.1687
MEM 24106.601562 1719159468.2692
MEM 23731.300781 1719159468.3696
