CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.699219 1719158976.2458
MEM 27.179688 1719158976.3473
MEM 40.105469 1719158976.4473
MEM 51.960938 1719158976.5479
MEM 76.863281 1719158976.6482
MEM 95.933594 1719158976.7484
MEM 107.152344 1719158976.8490
MEM 120.148438 1719158976.9492
MEM 132.003906 1719158977.0498
MEM 145.070312 1719158977.1503
MEM 173.867188 1719158977.2504
MEM 197.582031 1719158977.3508
MEM 200.621094 1719158977.4513
MEM 239.789062 1719158977.5516
MEM 283.585938 1719158977.6518
MEM 298.972656 1719158977.7519
MEM 265.457031 1719158977.8520
MEM 279.363281 1719158977.9531
MEM 285.265625 1719158978.0534
MEM 250.906250 1719158978.1539
MEM 336.484375 1719158978.2544
MEM 344.542969 1719158978.3548
MEM 295.406250 1719158978.4550
MEM 391.261719 1719158978.5556
MEM 311.714844 1719158978.6558
MEM 390.832031 1719158978.7563
MEM 382.273438 1719158978.8565
MEM 334.417969 1719158978.9567
MEM 397.628906 1719158979.0568
MEM 438.093750 1719158979.1570
MEM 448.941406 1719158979.2575
MEM 403.972656 1719158979.3579
MEM 309.750000 1719158979.4580
MEM 331.515625 1719158979.5584
MEM 340.152344 1719158979.6589
MEM 326.347656 1719158979.7593
MEM 495.082031 1719158979.8594
MEM 424.933594 1719158979.9598
MEM 380.027344 1719158980.0604
MEM 336.984375 1719158980.1609
MEM 522.003906 1719158980.2611
MEM 512.781250 1719158980.3616
MEM 486.726562 1719158980.4619
MEM 581.312500 1719158980.5621
MEM 537.156250 1719158980.6626
MEM 557.648438 1719158980.7628
MEM 576.351562 1719158980.8630
MEM 585.441406 1719158980.9633
MEM 620.769531 1719158981.0636
MEM 614.527344 1719158981.1637
MEM 635.445312 1719158981.2639
MEM 649.402344 1719158981.3645
MEM 653.718750 1719158981.4650
MEM 636.816406 1719158981.5656
MEM 657.812500 1719158981.6661
MEM 672.328125 1719158981.7666
MEM 693.371094 1719158981.8671
MEM 657.726562 1719158981.9676
MEM 679.386719 1719158982.0681
MEM 695.199219 1719158982.1683
MEM 716.656250 1719158982.2688
MEM 681.257812 1719158982.3694
MEM 722.714844 1719158982.4699
MEM 718.128906 1719158982.5704
MEM 738.781250 1719158982.6710
MEM 702.125000 1719158982.7715
MEM 729.601562 1719158982.8721
MEM 741.000000 1719158982.9727
MEM 753.121094 1719158983.0732
MEM 741.015625 1719158983.1737
MEM 741.015625 1719158983.2742
MEM 741.015625 1719158983.3747
MEM 786.343750 1719158983.4755
MEM 905.484375 1719158983.5760
MEM 918.460938 1719158983.6765
MEM 895.886719 1719158983.7770
MEM 941.347656 1719158983.8771
MEM 933.097656 1719158983.9776
MEM 918.460938 1719158984.0781
MEM 896.058594 1719158984.1782
MEM 1050.085938 1719158984.2788
MEM 1564.085938 1719158984.3789
MEM 2719.492188 1719158984.4794
MEM 3907.398438 1719158984.5795
MEM 5112.148438 1719158984.6800
MEM 6284.960938 1719158984.7806
MEM 7408.210938 1719158984.8808
MEM 8565.460938 1719158984.9814
MEM 9722.898438 1719158985.0819
MEM 10881.460938 1719158985.1821
MEM 12033.585938 1719158985.2834
MEM 13194.648438 1719158985.3839
MEM 14302.273438 1719158985.4844
MEM 15439.480469 1719158985.5849
MEM 16591.023438 1719158985.6855
MEM 17734.085938 1719158985.7856
MEM 18850.460938 1719158985.8861
MEM 19028.785156 1719158985.9866
MEM 19028.796875 1719158986.0871
MEM 19028.855469 1719158986.1876
MEM 19034.011719 1719158986.2882
MEM 19041.949219 1719158986.3887
MEM 19049.824219 1719158986.4892
MEM 19057.761719 1719158986.5897
MEM 19065.949219 1719158986.6903
MEM 19073.886719 1719158986.7908
MEM 19081.511719 1719158986.8913
MEM 19089.136719 1719158986.9918
MEM 19096.824219 1719158987.0923
MEM 19104.511719 1719158987.1929
MEM 19112.449219 1719158987.2934
MEM 19120.261719 1719158987.3939
MEM 19127.886719 1719158987.4944
MEM 19135.761719 1719158987.5949
MEM 19143.449219 1719158987.6954
MEM 19151.324219 1719158987.7959
MEM 19159.324219 1719158987.8964
MEM 19167.074219 1719158987.9969
MEM 19174.886719 1719158988.0974
MEM 19182.574219 1719158988.1979
MEM 19190.324219 1719158988.2985
MEM 19198.136719 1719158988.3987
MEM 19203.636719 1719158988.4991
MEM 19211.449219 1719158988.5997
MEM 19219.199219 1719158988.7000
MEM 19226.671875 1719158988.8002
MEM 19234.324219 1719158988.9006
MEM 19241.949219 1719158989.0011
MEM 19249.949219 1719158989.1015
MEM 19257.761719 1719158989.2020
MEM 19265.636719 1719158989.3026
MEM 19273.574219 1719158989.4031
MEM 19281.574219 1719158989.5033
MEM 19289.574219 1719158989.6037
MEM 19297.324219 1719158989.7042
MEM 19305.074219 1719158989.8044
MEM 19312.949219 1719158989.9048
MEM 19320.949219 1719158990.0051
MEM 19328.886719 1719158990.1053
MEM 19336.691406 1719158990.2056
MEM 19344.136719 1719158990.3061
MEM 19349.511719 1719158990.4066
MEM 19356.761719 1719158990.5073
MEM 19364.511719 1719158990.6075
MEM 19372.386719 1719158990.7078
MEM 19380.074219 1719158990.8080
MEM 19387.949219 1719158990.9084
MEM 19395.761719 1719158991.0089
MEM 19403.511719 1719158991.1093
MEM 19411.511719 1719158991.2097
MEM 19419.261719 1719158991.3102
MEM 19427.011719 1719158991.4104
MEM 19434.886719 1719158991.5106
MEM 19442.761719 1719158991.6109
MEM 19450.761719 1719158991.7114
MEM 19458.511719 1719158991.8119
MEM 19466.324219 1719158991.9123
MEM 19474.199219 1719158992.0125
MEM 19482.261719 1719158992.1128
MEM 19490.261719 1719158992.2130
MEM 19498.199219 1719158992.3137
MEM 19506.011719 1719158992.4139
MEM 19514.011719 1719158992.5144
MEM 19521.824219 1719158992.6145
MEM 19529.511719 1719158992.7151
MEM 19537.199219 1719158992.8156
MEM 19545.011719 1719158992.9161
MEM 19552.824219 1719158993.0165
MEM 19560.636719 1719158993.1171
MEM 19568.449219 1719158993.2175
MEM 19576.199219 1719158993.3179
MEM 19584.011719 1719158993.4185
MEM 19591.949219 1719158993.5190
MEM 19599.886719 1719158993.6195
MEM 19607.761719 1719158993.7200
MEM 19615.636719 1719158993.8205
MEM 19623.761719 1719158993.9210
MEM 19631.761719 1719158994.0215
MEM 19639.886719 1719158994.1218
MEM 19647.824219 1719158994.2223
MEM 19655.574219 1719158994.3228
MEM 19663.449219 1719158994.4233
MEM 19671.136719 1719158994.5237
MEM 19678.824219 1719158994.6241
MEM 19686.449219 1719158994.7244
MEM 19694.074219 1719158994.8250
MEM 19702.074219 1719158994.9255
MEM 19710.199219 1719158995.0260
MEM 19718.074219 1719158995.1265
MEM 19726.074219 1719158995.2271
MEM 19733.761719 1719158995.3276
MEM 19741.511719 1719158995.4281
MEM 19749.199219 1719158995.5286
MEM 19756.886719 1719158995.6291
MEM 19764.761719 1719158995.7296
MEM 19772.636719 1719158995.8302
MEM 19780.324219 1719158995.9307
MEM 19787.949219 1719158996.0312
MEM 19795.886719 1719158996.1318
MEM 19803.761719 1719158996.2324
MEM 19811.574219 1719158996.3329
MEM 19818.886719 1719158996.4334
MEM 19826.574219 1719158996.5340
MEM 19834.386719 1719158996.6345
MEM 19842.136719 1719158996.7350
MEM 19849.886719 1719158996.8355
MEM 19857.511719 1719158996.9360
MEM 19865.386719 1719158997.0366
MEM 19873.261719 1719158997.1371
MEM 19880.949219 1719158997.2376
MEM 19888.511719 1719158997.3381
MEM 19896.324219 1719158997.4384
MEM 19904.261719 1719158997.5390
MEM 19912.011719 1719158997.6395
MEM 19920.074219 1719158997.7397
MEM 19928.136719 1719158997.8402
MEM 19936.011719 1719158997.9407
MEM 19944.074219 1719158998.0410
MEM 19951.761719 1719158998.1413
MEM 19959.074219 1719158998.2415
MEM 19966.449219 1719158998.3420
MEM 19974.011719 1719158998.4425
MEM 19981.824219 1719158998.5430
MEM 19989.511719 1719158998.6435
MEM 19997.261719 1719158998.7440
MEM 20005.074219 1719158998.8446
MEM 20013.136719 1719158998.9451
MEM 20021.074219 1719158999.0456
MEM 20028.886719 1719158999.1462
MEM 20036.824219 1719158999.2467
MEM 20044.652344 1719158999.3472
MEM 20052.886719 1719158999.4477
MEM 20060.824219 1719158999.5482
MEM 20068.824219 1719158999.6487
MEM 20076.667969 1719158999.7497
MEM 20084.511719 1719158999.8502
MEM 20092.449219 1719158999.9508
MEM 20100.386719 1719159000.0513
MEM 20108.386719 1719159000.1518
MEM 20116.449219 1719159000.2523
MEM 20124.261719 1719159000.3528
MEM 20131.949219 1719159000.4534
MEM 20139.761719 1719159000.5539
MEM 20147.449219 1719159000.6544
MEM 20155.136719 1719159000.7549
MEM 20163.011719 1719159000.8554
MEM 20170.886719 1719159000.9559
MEM 20178.824219 1719159001.0564
MEM 20186.652344 1719159001.1569
MEM 20194.574219 1719159001.2574
MEM 20202.636719 1719159001.3579
MEM 20210.574219 1719159001.4584
MEM 20218.574219 1719159001.5590
MEM 20226.574219 1719159001.6600
MEM 20234.636719 1719159001.7600
MEM 20242.761719 1719159001.8606
MEM 20250.449219 1719159001.9612
MEM 20258.324219 1719159002.0617
MEM 20266.136719 1719159002.1622
MEM 20273.636719 1719159002.2627
MEM 20281.386719 1719159002.3632
MEM 20289.261719 1719159002.4637
MEM 20297.011719 1719159002.5642
MEM 20304.949219 1719159002.6647
MEM 20312.761719 1719159002.7652
MEM 20320.824219 1719159002.8657
MEM 20328.687500 1719159002.9662
MEM 20336.636719 1719159003.0668
MEM 20344.511719 1719159003.1673
MEM 20352.324219 1719159003.2679
MEM 20360.199219 1719159003.3684
MEM 20368.136719 1719159003.4689
MEM 20375.824219 1719159003.5695
MEM 20383.511719 1719159003.6700
MEM 20391.199219 1719159003.7706
MEM 20399.074219 1719159003.8711
MEM 20407.011719 1719159003.9716
MEM 20415.136719 1719159004.0721
MEM 20423.199219 1719159004.1726
MEM 20431.074219 1719159004.2731
MEM 20438.886719 1719159004.3735
MEM 20446.386719 1719159004.4740
MEM 20454.136719 1719159004.5745
MEM 20461.886719 1719159004.6750
MEM 20469.699219 1719159004.7755
MEM 20477.761719 1719159004.8760
MEM 20485.636719 1719159004.9765
MEM 20493.824219 1719159005.0770
MEM 20501.886719 1719159005.1775
MEM 20509.824219 1719159005.2780
MEM 20517.636719 1719159005.3786
MEM 20525.636719 1719159005.4791
MEM 20533.324219 1719159005.5796
MEM 20541.011719 1719159005.6801
MEM 20548.511719 1719159005.7806
MEM 20556.199219 1719159005.8811
MEM 20564.011719 1719159005.9816
MEM 20571.886719 1719159006.0821
MEM 20579.699219 1719159006.1826
MEM 20587.511719 1719159006.2831
MEM 20595.425781 1719159006.3836
MEM 20603.050781 1719159006.4841
MEM 20610.734375 1719159006.5847
MEM 20618.550781 1719159006.6852
MEM 20626.425781 1719159006.7857
MEM 20632.425781 1719159006.8862
MEM 20639.238281 1719159006.9867
MEM 20647.175781 1719159007.0872
MEM 20655.238281 1719159007.1877
MEM 20663.175781 1719159007.2882
MEM 20671.238281 1719159007.3887
MEM 20679.425781 1719159007.4892
MEM 20687.613281 1719159007.5897
MEM 20695.300781 1719159007.6902
MEM 20702.800781 1719159007.7907
MEM 20710.550781 1719159007.8913
MEM 20718.300781 1719159007.9918
MEM 20725.988281 1719159008.0923
MEM 20733.425781 1719159008.1928
MEM 20741.175781 1719159008.2933
MEM 20748.925781 1719159008.3938
MEM 20756.675781 1719159008.4943
MEM 20764.488281 1719159008.5948
MEM 20772.488281 1719159008.6953
MEM 20780.425781 1719159008.7958
MEM 20788.363281 1719159008.8963
MEM 20796.363281 1719159008.9968
MEM 20804.175781 1719159009.0974
MEM 20811.738281 1719159009.1979
MEM 20819.238281 1719159009.2984
MEM 20827.050781 1719159009.3989
MEM 20834.863281 1719159009.4994
MEM 20842.800781 1719159009.5999
MEM 20850.613281 1719159009.7004
MEM 20858.425781 1719159009.8009
MEM 20866.425781 1719159009.9014
MEM 20874.488281 1719159010.0019
MEM 20882.363281 1719159010.1024
MEM 20890.238281 1719159010.2029
MEM 20898.113281 1719159010.3035
MEM 20905.863281 1719159010.4040
MEM 20913.613281 1719159010.5045
MEM 20921.675781 1719159010.6050
MEM 20929.550781 1719159010.7055
MEM 20937.300781 1719159010.8060
MEM 20945.175781 1719159010.9065
MEM 20953.175781 1719159011.0070
MEM 20961.300781 1719159011.1075
MEM 20969.238281 1719159011.2080
MEM 20977.238281 1719159011.3085
MEM 20984.925781 1719159011.4090
MEM 20992.800781 1719159011.5095
MEM 21000.800781 1719159011.6100
MEM 21009.050781 1719159011.7106
MEM 21016.863281 1719159011.8111
MEM 21024.988281 1719159011.9116
MEM 21033.425781 1719159012.0151
MEM 21041.425781 1719159012.1158
MEM 21049.363281 1719159012.2163
MEM 21057.550781 1719159012.3169
MEM 21065.675781 1719159012.4174
MEM 21073.863281 1719159012.5179
MEM 21081.863281 1719159012.6184
MEM 21089.550781 1719159012.7190
MEM 21097.800781 1719159012.8195
MEM 21106.050781 1719159012.9200
MEM 21113.613281 1719159013.0205
MEM 21121.300781 1719159013.1210
MEM 21129.238281 1719159013.2215
MEM 21137.113281 1719159013.3220
MEM 21144.675781 1719159013.4225
MEM 21152.613281 1719159013.5230
MEM 21160.550781 1719159013.6235
MEM 21168.363281 1719159013.7241
MEM 21176.488281 1719159013.8246
MEM 21184.425781 1719159013.9251
MEM 21192.363281 1719159014.0256
MEM 21200.425781 1719159014.1261
MEM 21208.425781 1719159014.2266
MEM 21216.300781 1719159014.3271
MEM 21224.050781 1719159014.4276
MEM 21231.988281 1719159014.5281
MEM 21239.925781 1719159014.6286
MEM 21247.738281 1719159014.7291
MEM 21255.800781 1719159014.8296
MEM 21263.675781 1719159014.9301
MEM 21271.425781 1719159015.0307
MEM 21279.238281 1719159015.1312
MEM 21287.300781 1719159015.2317
MEM 21294.988281 1719159015.3322
MEM 21302.675781 1719159015.4327
MEM 21310.363281 1719159015.5332
MEM 21318.050781 1719159015.6337
MEM 21325.800781 1719159015.7342
MEM 21333.550781 1719159015.8347
MEM 21341.488281 1719159015.9352
MEM 21349.550781 1719159016.0358
MEM 21357.613281 1719159016.1363
MEM 21365.613281 1719159016.2368
MEM 21373.675781 1719159016.3373
MEM 21381.738281 1719159016.4378
MEM 21389.800781 1719159016.5383
MEM 21397.738281 1719159016.6388
MEM 21405.613281 1719159016.7393
MEM 21413.488281 1719159016.8398
MEM 21421.550781 1719159016.9403
MEM 21429.175781 1719159017.0408
MEM 21436.675781 1719159017.1413
MEM 21444.425781 1719159017.2419
MEM 21451.988281 1719159017.3424
MEM 21459.863281 1719159017.4429
MEM 21467.800781 1719159017.5434
MEM 21475.613281 1719159017.6439
MEM 21483.363281 1719159017.7444
MEM 21491.175781 1719159017.8449
MEM 21498.800781 1719159017.9454
MEM 21506.613281 1719159018.0459
MEM 21514.488281 1719159018.1464
MEM 21522.175781 1719159018.2469
MEM 21529.738281 1719159018.3474
MEM 21537.363281 1719159018.4480
MEM 21545.300781 1719159018.5485
MEM 21553.238281 1719159018.6490
MEM 21561.175781 1719159018.7495
MEM 21569.175781 1719159018.8500
MEM 21577.238281 1719159018.9505
MEM 21585.113281 1719159019.0510
MEM 21592.988281 1719159019.1515
MEM 21600.800781 1719159019.2520
MEM 21608.550781 1719159019.3525
MEM 21616.300781 1719159019.4530
MEM 21623.800781 1719159019.5535
MEM 21631.425781 1719159019.6538
MEM 21639.363281 1719159019.7544
MEM 21647.050781 1719159019.8549
MEM 21654.988281 1719159019.9554
MEM 21662.863281 1719159020.0558
MEM 21670.695312 1719159020.1564
MEM 21678.425781 1719159020.2565
MEM 21686.113281 1719159020.3566
MEM 21693.863281 1719159020.4567
MEM 21701.425781 1719159020.5573
MEM 21709.238281 1719159020.6577
MEM 21717.113281 1719159020.7582
MEM 21724.988281 1719159020.8588
MEM 21732.863281 1719159020.9593
MEM 21740.675781 1719159021.0599
MEM 21748.488281 1719159021.1604
MEM 21756.300781 1719159021.2606
MEM 21764.113281 1719159021.3608
MEM 21771.925781 1719159021.4611
MEM 21779.675781 1719159021.5614
MEM 21786.425781 1719159021.6618
MEM 21792.550781 1719159021.7622
MEM 21800.363281 1719159021.8625
MEM 21808.175781 1719159021.9628
MEM 21815.988281 1719159022.0629
MEM 21823.800781 1719159022.1635
MEM 21831.550781 1719159022.2640
MEM 21839.238281 1719159022.3644
MEM 21846.988281 1719159022.4647
MEM 21854.925781 1719159022.5648
MEM 21862.687500 1719159022.6652
MEM 21870.425781 1719159022.7655
MEM 21878.175781 1719159022.8661
MEM 21885.800781 1719159022.9664
MEM 21893.488281 1719159023.0669
MEM 21901.300781 1719159023.1673
MEM 21909.113281 1719159023.2675
MEM 21916.988281 1719159023.3678
MEM 21924.675781 1719159023.4682
MEM 21932.238281 1719159023.5684
MEM 21939.925781 1719159023.6689
MEM 21947.863281 1719159023.7695
MEM 21955.613281 1719159023.8698
MEM 21963.425781 1719159023.9700
MEM 21971.300781 1719159024.0704
MEM 21979.113281 1719159024.1709
MEM 21986.800781 1719159024.2711
MEM 21994.550781 1719159024.3713
MEM 22002.300781 1719159024.4718
MEM 22010.050781 1719159024.5720
MEM 22017.863281 1719159024.6724
MEM 22025.675781 1719159024.7730
MEM 22033.425781 1719159024.8735
MEM 22041.113281 1719159024.9739
MEM 22048.863281 1719159025.0743
MEM 22056.550781 1719159025.1746
MEM 22064.300781 1719159025.2750
MEM 22072.113281 1719159025.3755
MEM 22079.988281 1719159025.4757
MEM 22087.800781 1719159025.5759
MEM 22095.550781 1719159025.6763
MEM 22103.300781 1719159025.7765
MEM 22111.238281 1719159025.8766
MEM 22119.050781 1719159025.9770
MEM 22126.863281 1719159026.0774
MEM 22134.488281 1719159026.1776
MEM 22142.175781 1719159026.2780
MEM 22150.050781 1719159026.3784
MEM 22157.863281 1719159026.4790
MEM 22165.675781 1719159026.5793
MEM 22173.613281 1719159026.6797
MEM 22181.363281 1719159026.7801
MEM 22189.300781 1719159026.8806
MEM 22197.175781 1719159026.9810
MEM 22205.050781 1719159027.0816
MEM 22212.863281 1719159027.1821
MEM 22220.550781 1719159027.2824
MEM 22228.488281 1719159027.3828
MEM 22236.488281 1719159027.4832
MEM 22244.363281 1719159027.5837
MEM 22252.363281 1719159027.6839
MEM 22260.113281 1719159027.7844
MEM 22267.988281 1719159027.8846
MEM 22275.738281 1719159027.9851
MEM 22283.613281 1719159028.0855
MEM 22291.488281 1719159028.1858
MEM 22299.425781 1719159028.2861
MEM 22307.175781 1719159028.3866
MEM 22314.988281 1719159028.4867
MEM 22322.863281 1719159028.5873
