CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.593750 1719158309.9868
MEM 26.894531 1719158310.0880
MEM 39.429688 1719158310.1890
MEM 51.238281 1719158310.2892
MEM 76.070312 1719158310.3901
MEM 92.734375 1719158310.4905
MEM 107.066406 1719158310.5906
MEM 120.031250 1719158310.6911
MEM 132.199219 1719158310.7913
MEM 144.859375 1719158310.8918
MEM 226.042969 1719158310.9931
MEM 263.171875 1719158311.0944
MEM 290.515625 1719158311.1947
MEM 289.367188 1719158311.2952
MEM 333.035156 1719158311.3958
MEM 451.214844 1719158311.4963
MEM 358.742188 1719158311.5966
MEM 382.566406 1719158311.6971
MEM 400.816406 1719158311.7973
MEM 463.359375 1719158311.8976
MEM 534.640625 1719158311.9981
MEM 574.746094 1719158312.0986
MEM 611.996094 1719158312.1990
MEM 628.542969 1719158312.2995
MEM 671.937500 1719158312.3998
MEM 826.558594 1719158312.5000
MEM 697.382812 1719158312.6004
MEM 718.832031 1719158312.7011
MEM 777.273438 1719158312.8013
MEM 748.644531 1719158312.9015
MEM 766.082031 1719158313.0020
MEM 777.332031 1719158313.1026
MEM 815.242188 1719158313.2031
MEM 811.859375 1719158313.3035
MEM 788.980469 1719158313.4038
MEM 802.582031 1719158313.5041
MEM 824.222656 1719158313.6044
MEM 834.804688 1719158313.7047
MEM 811.875000 1719158313.8052
MEM 828.507812 1719158313.9054
MEM 849.164062 1719158314.0055
MEM 857.695312 1719158314.1062
MEM 834.769531 1719158314.2063
MEM 851.621094 1719158314.3065
MEM 873.875000 1719158314.4066
MEM 881.937500 1719158314.5072
MEM 857.664062 1719158314.6075
MEM 874.761719 1719158314.7080
MEM 894.828125 1719158314.8086
MEM 903.480469 1719158314.9093
MEM 903.460938 1719158315.0096
MEM 903.468750 1719158315.1102
MEM 903.472656 1719158315.2107
MEM 920.941406 1719158315.3112
MEM 1080.921875 1719158315.4116
MEM 1080.921875 1719158315.5117
MEM 1087.863281 1719158315.6119
MEM 1103.808594 1719158315.7124
MEM 1093.156250 1719158315.8128
MEM 1080.921875 1719158315.9131
MEM 1103.808594 1719158316.0136
MEM 1212.546875 1719158316.1139
MEM 1652.042969 1719158316.2143
MEM 2731.242188 1719158316.3146
MEM 3809.679688 1719158316.4150
MEM 4893.929688 1719158316.5155
MEM 5974.554688 1719158316.6158
MEM 7055.367188 1719158316.7160
MEM 8094.742188 1719158316.8166
MEM 9177.492188 1719158316.9168
MEM 10253.242188 1719158317.0173
MEM 11240.617188 1719158317.1176
MEM 12251.554688 1719158317.2182
MEM 13348.117188 1719158317.3190
MEM 14440.367188 1719158317.4191
MEM 14613.617188 1719158317.5196
MEM 14613.996094 1719158317.6200
MEM 14620.261719 1719158317.7204
MEM 14630.574219 1719158317.8209
MEM 14640.761719 1719158317.9210
MEM 14651.824219 1719158318.0214
MEM 14662.261719 1719158318.1218
MEM 14672.324219 1719158318.2222
MEM 14682.511719 1719158318.3224
MEM 14693.011719 1719158318.4226
MEM 14703.562500 1719158318.5231
MEM 14713.949219 1719158318.6236
MEM 14724.386719 1719158318.7240
MEM 14734.449219 1719158318.8246
MEM 14744.824219 1719158318.9247
MEM 14755.449219 1719158319.0249
MEM 14765.886719 1719158319.1251
MEM 14776.511719 1719158319.2254
MEM 14787.074219 1719158319.3256
MEM 14797.136719 1719158319.4259
MEM 14807.761719 1719158319.5260
MEM 14818.136719 1719158319.6262
MEM 14828.699219 1719158319.7266
MEM 14838.761719 1719158319.8268
MEM 14849.199219 1719158319.9271
MEM 14859.511719 1719158320.0275
MEM 14869.949219 1719158320.1281
MEM 14880.636719 1719158320.2286
MEM 14890.824219 1719158320.3290
MEM 14901.199219 1719158320.4293
MEM 14911.386719 1719158320.5295
MEM 14921.824219 1719158320.6296
MEM 14932.074219 1719158320.7298
MEM 14942.136719 1719158320.8299
MEM 14952.574219 1719158320.9302
MEM 14962.824219 1719158321.0308
MEM 14973.261719 1719158321.1310
MEM 14983.636719 1719158321.2313
MEM 14994.199219 1719158321.3316
MEM 15004.699219 1719158321.4322
MEM 15015.261719 1719158321.5327
MEM 15025.386719 1719158321.6332
MEM 15035.824219 1719158321.7335
MEM 15045.886719 1719158321.8340
MEM 15056.449219 1719158321.9347
MEM 15066.949219 1719158322.0352
MEM 15077.074219 1719158322.1354
MEM 15087.324219 1719158322.2360
MEM 15097.761719 1719158322.3366
MEM 15108.386719 1719158322.4371
MEM 15118.824219 1719158322.5377
MEM 15129.199219 1719158322.6381
MEM 15139.449219 1719158322.7384
MEM 15150.199219 1719158322.8387
MEM 15160.699219 1719158322.9391
MEM 15171.136719 1719158323.0393
MEM 15181.699219 1719158323.1398
MEM 15192.136719 1719158323.2401
MEM 15202.574219 1719158323.3405
MEM 15212.761719 1719158323.4411
MEM 15223.199219 1719158323.5415
MEM 15233.636719 1719158323.6416
MEM 15244.136719 1719158323.7421
MEM 15254.449219 1719158323.8426
MEM 15265.011719 1719158323.9430
MEM 15275.324219 1719158324.0432
MEM 15282.761719 1719158324.1436
MEM 15292.699219 1719158324.2440
MEM 15302.886719 1719158324.3442
MEM 15313.386719 1719158324.4446
MEM 15323.761719 1719158324.5448
MEM 15334.261719 1719158324.6450
MEM 15344.511719 1719158324.7455
MEM 15354.949219 1719158324.8460
MEM 15365.261719 1719158324.9463
MEM 15375.824219 1719158325.0465
MEM 15386.324219 1719158325.1470
MEM 15396.949219 1719158325.2472
MEM 15407.449219 1719158325.3474
MEM 15417.824219 1719158325.4477
MEM 15428.324219 1719158325.5480
MEM 15438.636719 1719158325.6482
