CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.589844 1719157825.9776
MEM 26.550781 1719157826.0785
MEM 38.710938 1719157826.1786
MEM 49.125000 1719157826.2789
MEM 74.781250 1719157826.3791
MEM 90.148438 1719157826.4796
MEM 100.550781 1719157826.5802
MEM 113.105469 1719157826.6806
MEM 130.027344 1719157826.7809
MEM 140.550781 1719157826.8814
MEM 172.148438 1719157826.9819
MEM 187.769531 1719157827.0823
MEM 204.863281 1719157827.1826
MEM 219.347656 1719157827.2829
MEM 407.023438 1719157827.3832
MEM 732.156250 1719157827.4834
MEM 697.101562 1719157827.5839
MEM 714.406250 1719157827.6842
MEM 734.476562 1719157827.7847
MEM 742.882812 1719157827.8852
MEM 819.824219 1719157827.9857
MEM 773.910156 1719157828.0859
MEM 799.484375 1719157828.1862
MEM 811.628906 1719157828.2866
MEM 829.175781 1719157828.3872
MEM 794.851562 1719157828.4877
MEM 815.332031 1719157828.5879
MEM 834.511719 1719157828.6882
MEM 847.359375 1719157828.7886
MEM 815.871094 1719157828.8891
MEM 836.988281 1719157828.9893
MEM 857.425781 1719157829.0897
MEM 871.828125 1719157829.1900
MEM 839.476562 1719157829.2904
MEM 869.609375 1719157829.3907
MEM 880.292969 1719157829.4911
MEM 895.363281 1719157829.5916
MEM 860.664062 1719157829.6917
MEM 878.980469 1719157829.7921
MEM 897.714844 1719157829.8924
MEM 905.996094 1719157829.9943
MEM 900.351562 1719157830.0952
MEM 884.378906 1719157830.1957
MEM 903.183594 1719157830.2963
MEM 940.710938 1719157830.3967
MEM 1070.324219 1719157830.4971
MEM 1069.984375 1719157830.5973
MEM 1068.492188 1719157830.6974
MEM 1080.632812 1719157830.7977
MEM 1080.632812 1719157830.8979
MEM 1075.968750 1719157830.9983
MEM 1190.238281 1719157831.0986
MEM 1391.117188 1719157831.1993
MEM 2143.261719 1719157831.2997
MEM 3159.136719 1719157831.3999
MEM 4167.574219 1719157831.5002
MEM 5181.511719 1719157831.6006
MEM 6133.261719 1719157831.7010
MEM 7142.386719 1719157831.8013
MEM 8163.386719 1719157831.9019
MEM 9185.511719 1719157832.0022
MEM 9120.179688 1719157832.1029
MEM 9120.351562 1719157832.2032
MEM 9137.699219 1719157832.3037
MEM 9155.761719 1719157832.4041
MEM 9173.136719 1719157832.5044
MEM 9190.261719 1719157832.6048
MEM 9207.136719 1719157832.7050
MEM 9223.761719 1719157832.8052
MEM 9239.949219 1719157832.9055
MEM 9256.074219 1719157833.0060
MEM 9273.511719 1719157833.1065
MEM 9290.761719 1719157833.2071
MEM 9307.761719 1719157833.3078
MEM 9325.199219 1719157833.4083
MEM 9343.011719 1719157833.5086
MEM 9360.636719 1719157833.6090
MEM 9378.574219 1719157833.7095
MEM 9395.886719 1719157833.8098
MEM 9413.324219 1719157833.9103
MEM 9430.824219 1719157834.0105
MEM 9447.136719 1719157834.1107
MEM 9464.386719 1719157834.2113
MEM 9481.949219 1719157834.3115
MEM 9498.886719 1719157834.4117
MEM 9515.449219 1719157834.5123
MEM 9531.636719 1719157834.6124
MEM 9547.949219 1719157834.7129
MEM 9564.886719 1719157834.8134
MEM 9581.136719 1719157834.9136
MEM 9596.886719 1719157835.0142
MEM 9614.574219 1719157835.1148
MEM 9632.324219 1719157835.2152
MEM 9648.199219 1719157835.3153
MEM 9665.261719 1719157835.4157
MEM 9681.574219 1719157835.5160
MEM 9698.011719 1719157835.6177
MEM 9715.449219 1719157835.7187
MEM 9733.324219 1719157835.8193
MEM 9751.199219 1719157835.9195
MEM 9768.636719 1719157836.0200
MEM 9785.761719 1719157836.1206
MEM 9803.261719 1719157836.2211
MEM 9820.886719 1719157836.3216
MEM 9838.136719 1719157836.4218
MEM 9855.761719 1719157836.5224
MEM 9872.011719 1719157836.6238
MEM 9888.324219 1719157836.7242
MEM 9905.761719 1719157836.8244
MEM 9923.136719 1719157836.9245
MEM 9940.261719 1719157837.0247
MEM 9958.011719 1719157837.1252
MEM 9975.636719 1719157837.2254
MEM 9993.199219 1719157837.3257
MEM 10010.699219 1719157837.4261
MEM 10027.824219 1719157837.5266
MEM 10044.699219 1719157837.6271
MEM 10061.761719 1719157837.7276
MEM 10078.386719 1719157837.8277
MEM 10094.636719 1719157837.9282
MEM 10111.199219 1719157838.0287
MEM 10127.636719 1719157838.1289
MEM 10144.636719 1719157838.2294
MEM 10161.761719 1719157838.3295
MEM 10178.824219 1719157838.4297
MEM 10196.011719 1719157838.5300
MEM 10212.386719 1719157838.6303
MEM 10229.074219 1719157838.7306
MEM 10245.699219 1719157838.8308
MEM 10262.949219 1719157838.9310
MEM 10280.074219 1719157839.0313
MEM 10297.761719 1719157839.1343
MEM 10314.199219 1719157839.2351
MEM 10330.449219 1719157839.3355
MEM 10346.574219 1719157839.4357
MEM 10363.074219 1719157839.5365
MEM 10380.011719 1719157839.6378
MEM 10396.824219 1719157839.7384
MEM 10413.636719 1719157839.8387
MEM 10430.324219 1719157839.9392
MEM 10447.636719 1719157840.0397
MEM 10464.824219 1719157840.1399
MEM 10482.574219 1719157840.2403
MEM 10500.011719 1719157840.3405
MEM 10517.011719 1719157840.4409
MEM 10534.761719 1719157840.5412
MEM 10551.449219 1719157840.6417
