CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.597656 1719157463.9950
MEM 27.078125 1719157464.0957
MEM 39.535156 1719157464.1961
MEM 50.691406 1719157464.2964
MEM 75.761719 1719157464.3969
MEM 92.859375 1719157464.4974
MEM 106.910156 1719157464.5977
MEM 120.066406 1719157464.6984
MEM 131.675781 1719157464.7987
MEM 140.886719 1719157464.8992
MEM 171.511719 1719157464.9994
MEM 310.437500 1719157465.0995
MEM 652.128906 1719157465.1999
MEM 692.781250 1719157465.3002
MEM 707.585938 1719157465.4005
MEM 728.253906 1719157465.5007
MEM 740.308594 1719157465.6012
MEM 787.148438 1719157465.7015
MEM 766.625000 1719157465.8016
MEM 787.328125 1719157465.9022
MEM 808.398438 1719157466.0027
MEM 818.003906 1719157466.1031
MEM 787.394531 1719157466.2035
MEM 807.050781 1719157466.3039
MEM 835.308594 1719157466.4041
MEM 839.960938 1719157466.5045
MEM 811.140625 1719157466.6049
MEM 836.234375 1719157466.7050
MEM 853.308594 1719157466.8056
MEM 865.574219 1719157466.9061
MEM 834.609375 1719157467.0062
MEM 873.136719 1719157467.1068
MEM 875.351562 1719157467.2071
MEM 888.441406 1719157467.3075
MEM 854.765625 1719157467.4080
MEM 878.964844 1719157467.5085
MEM 895.132812 1719157467.6089
MEM 903.097656 1719157467.7095
MEM 893.769531 1719157467.8097
MEM 900.863281 1719157467.9099
MEM 900.570312 1719157468.0102
MEM 943.769531 1719157468.1104
MEM 1076.320312 1719157468.2105
MEM 1078.628906 1719157468.3110
MEM 1076.984375 1719157468.4112
MEM 1059.964844 1719157468.5115
MEM 1078.015625 1719157468.6117
MEM 1100.902344 1719157468.7120
MEM 1209.640625 1719157468.8124
MEM 1572.468750 1719157468.9126
MEM 2538.898438 1719157469.0130
MEM 3503.148438 1719157469.1133
MEM 4381.960938 1719157469.2138
MEM 5347.148438 1719157469.3142
MEM 6321.335938 1719157469.4146
MEM 7272.460938 1719157469.5148
MEM 7286.492188 1719157469.6150
MEM 7286.546875 1719157469.7153
MEM 7307.117188 1719157469.8156
MEM 7329.117188 1719157469.9159
MEM 7350.117188 1719157470.0161
MEM 7371.304688 1719157470.1163
MEM 7391.804688 1719157470.2164
MEM 7413.492188 1719157470.3165
MEM 7434.617188 1719157470.4168
