CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.648438 1719157243.9111
MEM 26.648438 1719157244.0116
MEM 39.539062 1719157244.1121
MEM 51.636719 1719157244.2146
MEM 76.597656 1719157244.3149
MEM 96.437500 1719157244.4154
MEM 108.261719 1719157244.5159
MEM 121.906250 1719157244.6165
MEM 133.820312 1719157244.7170
MEM 150.316406 1719157244.8175
MEM 310.984375 1719157244.9180
MEM 650.859375 1719157245.0186
MEM 694.058594 1719157245.1190
MEM 710.328125 1719157245.2192
MEM 765.593750 1719157245.3197
MEM 739.871094 1719157245.4202
MEM 817.402344 1719157245.5208
MEM 771.453125 1719157245.6211
MEM 792.945312 1719157245.7217
MEM 808.562500 1719157245.8222
MEM 785.652344 1719157245.9227
MEM 799.359375 1719157246.0232
MEM 822.019531 1719157246.1237
MEM 831.460938 1719157246.2242
MEM 808.542969 1719157246.3248
MEM 826.011719 1719157246.4253
MEM 848.445312 1719157246.5258
MEM 858.617188 1719157246.6263
MEM 831.437500 1719157246.7268
MEM 852.445312 1719157246.8273
MEM 873.566406 1719157246.9278
MEM 886.320312 1719157247.0283
MEM 856.261719 1719157247.1288
MEM 876.593750 1719157247.2293
MEM 896.640625 1719157247.3298
MEM 906.503906 1719157247.4303
MEM 900.140625 1719157247.5308
MEM 900.140625 1719157247.6313
MEM 900.140625 1719157247.7318
MEM 956.531250 1719157247.8324
MEM 1090.167969 1719157247.9329
MEM 1093.656250 1719157248.0334
MEM 1099.460938 1719157248.1339
MEM 1089.082031 1719157248.2344
MEM 1056.812500 1719157248.3349
MEM 1185.367188 1719157248.4354
MEM 1319.574219 1719157248.5359
MEM 2024.664062 1719157248.6364
MEM 3004.710938 1719157248.7369
MEM 3906.347656 1719157248.8374
MEM 4856.535156 1719157248.9379
MEM 5812.703125 1719157249.0385
MEM 6778.847656 1719157249.1390
MEM 6370.542969 1719157249.2395
MEM 6383.585938 1719157249.3400
MEM 6408.710938 1719157249.4405
MEM 6434.335938 1719157249.5410
MEM 6458.960938 1719157249.6416
MEM 6485.460938 1719157249.7421
MEM 6511.898438 1719157249.8426
MEM 6537.710938 1719157249.9431
MEM 6562.273438 1719157250.0432
MEM 6587.960938 1719157250.1437
MEM 6613.398438 1719157250.2442
MEM 6639.023438 1719157250.3447
MEM 6663.523438 1719157250.4452
MEM 6688.523438 1719157250.5457
MEM 6716.023438 1719157250.6462
MEM 6742.210938 1719157250.7467
MEM 6768.460938 1719157250.8472
MEM 6794.585938 1719157250.9477
