CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 2.113281 1718823175.3580
MEM 27.359375 1718823175.4586
MEM 40.738281 1718823175.5591
MEM 53.210938 1718823175.6592
MEM 74.832031 1718823175.7596
MEM 89.367188 1718823175.8598
MEM 99.882812 1718823175.9600
MEM 107.589844 1718823176.0604
MEM 116.070312 1718823176.1606
MEM 126.449219 1718823176.2609
MEM 136.488281 1718823176.3614
MEM 163.777344 1718823176.4618
MEM 338.097656 1718823176.5621
MEM 500.917969 1718823176.6637
MEM 617.140625 1718823176.7642
MEM 262.503906 1718823176.8647
MEM 262.609375 1718823176.9652
MEM 261.664062 1718823177.0658
MEM 262.621094 1718823177.1663
MEM 262.410156 1718823177.2668
MEM 262.625000 1718823177.3673
MEM 262.511719 1718823177.4678
MEM 262.625000 1718823177.5683
MEM 262.625000 1718823177.6688
MEM 262.425781 1718823177.7693
MEM 262.625000 1718823177.8698
MEM 262.625000 1718823177.9703
MEM 261.289062 1718823178.0708
MEM 262.332031 1718823178.1713
MEM 262.625000 1718823178.2718
MEM 262.625000 1718823178.3723
MEM 262.625000 1718823178.4729
MEM 261.289062 1718823178.5734
MEM 262.625000 1718823178.6739
MEM 262.625000 1718823178.7744
MEM 262.007812 1718823178.8749
MEM 262.625000 1718823178.9754
MEM 262.625000 1718823179.0759
MEM 262.625000 1718823179.1764
MEM 280.695312 1718823179.2769
MEM 321.722656 1718823179.3774
MEM 320.953125 1718823179.4780
MEM 303.390625 1718823179.5785
MEM 319.187500 1718823179.6790
MEM 324.105469 1718823179.7795
MEM 319.160156 1718823179.8800
MEM 337.250000 1718823179.9810
MEM 333.671875 1718823180.0815
MEM 349.910156 1718823180.1816
MEM 347.535156 1718823180.2822
MEM 426.816406 1718823180.3828
MEM 420.808594 1718823180.4833
MEM 503.406250 1718823180.5838
MEM 1051.046875 1718823180.6843
MEM 1966.734375 1718823180.7848
MEM 2151.765625 1718823180.8858
MEM 2151.804688 1718823180.9863
MEM 2176.402344 1718823181.0868
MEM 2210.156250 1718823181.1873
MEM 2243.839844 1718823181.2875
MEM 2277.527344 1718823181.3876
MEM 2310.964844 1718823181.4881
MEM 2344.277344 1718823181.5886
MEM 2377.839844 1718823181.6891
MEM 2410.152344 1718823181.7896
MEM 2443.027344 1718823181.8901
MEM 2476.207031 1718823181.9906
MEM 2509.964844 1718823182.0911
MEM 2542.652344 1718823182.1917
MEM 2576.089844 1718823182.2922
MEM 2608.152344 1718823182.3927
MEM 2642.027344 1718823182.4932
MEM 2674.964844 1718823182.5937
MEM 2709.589844 1718823182.6942
MEM 2741.964844 1718823182.7947
MEM 2775.464844 1718823182.8952
MEM 2808.777344 1718823182.9957
MEM 2843.589844 1718823183.0962
MEM 2876.714844 1718823183.1967
MEM 2909.777344 1718823183.2972
MEM 2941.902344 1718823183.3977
MEM 2972.964844 1718823183.4982
MEM 3005.214844 1718823183.5988
MEM 3038.156250 1718823183.6993
MEM 3071.277344 1718823183.7998
MEM 3106.277344 1718823183.9003
MEM 3139.714844 1718823184.0008
MEM 3172.402344 1718823184.1013
MEM 3204.777344 1718823184.2018
MEM 3236.839844 1718823184.3023
MEM 3268.902344 1718823184.4028
MEM 3301.714844 1718823184.5033
MEM 3334.902344 1718823184.6038
MEM 3367.777344 1718823184.7043
MEM 3400.652344 1718823184.8048
MEM 3432.964844 1718823184.9053
MEM 3464.464844 1718823185.0059
MEM 3496.339844 1718823185.1064
MEM 3528.964844 1718823185.2069
MEM 3561.652344 1718823185.3074
MEM 3593.839844 1718823185.4079
MEM 3625.277344 1718823185.5084
MEM 3656.714844 1718823185.6089
MEM 3688.402344 1718823185.7094
MEM 3720.179688 1718823185.8099
MEM 3753.277344 1718823185.9104
MEM 3786.277344 1718823186.0109
MEM 3819.402344 1718823186.1114
MEM 3853.152344 1718823186.2119
MEM 3886.089844 1718823186.3125
MEM 3919.589844 1718823186.4130
MEM 3952.527344 1718823186.5135
MEM 3983.277344 1718823186.6140
MEM 4015.089844 1718823186.7145
MEM 4048.464844 1718823186.8150
MEM 4081.777344 1718823186.9155
MEM 4114.339844 1718823187.0157
MEM 4146.589844 1718823187.1162
MEM 4179.339844 1718823187.2169
MEM 4211.089844 1718823187.3174
MEM 4243.527344 1718823187.4179
MEM 4275.714844 1718823187.5185
MEM 4306.027344 1718823187.6190
MEM 4338.652344 1718823187.7191
MEM 4371.777344 1718823187.8197
MEM 4403.714844 1718823187.9203
MEM 4436.527344 1718823188.0208
MEM 4469.464844 1718823188.1213
MEM 4502.839844 1718823188.2218
MEM 4535.777344 1718823188.3223
MEM 4568.277344 1718823188.4225
MEM 4600.714844 1718823188.5228
MEM 4632.777344 1718823188.6233
MEM 4665.464844 1718823188.7239
MEM 4698.339844 1718823188.8244
MEM 4731.339844 1718823188.9245
MEM 4764.402344 1718823189.0251
MEM 4797.714844 1718823189.1256
MEM 4832.527344 1718823189.2261
MEM 4866.777344 1718823189.3266
MEM 4900.339844 1718823189.4271
MEM 4934.089844 1718823189.5276
MEM 4967.527344 1718823189.6282
MEM 5000.714844 1718823189.7292
MEM 5033.152344 1718823189.8297
MEM 5065.714844 1718823189.9302
